,text,grade,date
44,"des escrocs
un gars sonne à ma porte, il prétend que le gaz va changer et veut vérifier la compatibilité avec mon chauffe-eau. Il me demande de vérifier un truc sur mon contrat actuel dont je ne me plains pas, et résilie sans m'en parler et m'abonne chez eux. Quelques jours après... des factures de ENI.
Mon contrat chez mon fournisseur était effectivement résilié pour aller chez ENI. Je ne compte pas payer!!!
A fuir!! Ne leur ouvrez pas la porte de chez vous!!!
Date de l'expérience: 26 septembre 2022",1,26 sept. 2022
45,"Mensualité qui passe de 140€ à 800€ par mois
En contrat chez Eni depuis 3 ans mon contrat a été renouvelé en Octobre 2022. Modification de mon échéancier je suis passée de 140€ par mois à 800€ ! D’après Eni c’est normal il n’y a pas d’erreur. Je viens de résilier mon contrat
Date de l'expérience: 08 novembre 2022",1,8 nov. 2022
46,"Expérience client déplorable. Fournisseur à proscrire
Vous souhaitez avoir une réponse sur un dossier ou savoir où en est votre remboursement ? Changez de fournisseur. Impossible d’avoir le service facturation, les lignes sont d’après l’opératrice en ligne saturées. À part ça, elle fait remonter le problème. Et cela fait 2 mois que ça dure …. C’est intolérable.
Date de l'expérience: 20 septembre 2022",1,20 sept. 2022
47,"Depuis que nous sommes chez eni nous…
Depuis que nous sommes chez eni nous avons plus d’électricité que de loyer.
Pour la meme conso une voisine paye 2x moins cher chez edf. Je viens de résilier mes contrats.
Date de l'expérience: 07 décembre 2022",1,7 déc. 2022
48,"moi pareil je me trouve avec facture de…
moi pareil je me trouve avec facture de 1600 eurods pour mon fils etudiant....onpensais etre avec Engie depuis toujours et on nous a chanbgee de contrat allechant a 17,92 euro/mois et la a la cloture une facture de regul enorme !!!aucun recours !!!c est ignoble!!!on bern,e les gens avec des abonnements eco tres interessants et finalement c est une facture impossible !!!!j espere trouver recours avec 60millions de consommateurs
j appel a un regroupement de vous tous pour reclamer !!!!
Date de l'expérience: 01 septembre 2022",1,1 sept. 2022
49,"très malhonnête
Service client très malhonnête, insultant,humiliant.entreprise non sérieuse et coupe les contrats sans avertir le seul but et d encaisser le reste il s en foute.les plates formes sont pas europeene....Eni est vraiment à éviter même avec une ancienneté client de 3 ans ! Très malhonnête
Date de l'expérience: 13 septembre 2022",1,15 sept. 2022
50,"Ils m ont changé de contrat sans rien dire…
Ils m ont changé de contrat sans rien me dire (apparemment j'aurais reçu un mail un mois avant... ba j ai rien trouvé dans mes mails...) en tous cas, le 13 juillet je suis passé de 0,11 H.T le kwh à 0.27 HT... du jour au lendemain... je m'en apercois 2 mois après à réception de la facture qui est casiment 3 fois plus chere... et avec une belle régule avec le nouveau tarif. = Un préjudice de plus de 200 eur... Et niveau recours, pas grand chose à faire... ils me raccrochent au nez... c est des voleurs... j ai résilié aussitot... A FUIR....
Date de l'expérience: 13 septembre 2022",1,15 sept. 2022
51,"Fournisseur qui ne sait même pas faire…
Fournisseur qui ne sait même pas faire un calcul sur une année de consommation de son client !!! Lui prélevé de petits montants et vive après la facture de régularisation !!! Aucun suivi de client par rapport à cela !!! Ils sont bons qu’à encaisser le fric le reste ils s’en foutent et vous coupe l’électricité sans envoi de courrier !!!
HONTE à VOUS!!
Et votre service client qui ne parle pas un mot français !!!
A fuiiiiiiiiiiiiiiiiiiiiiiiiiiiiir !!!
Date de l'expérience: 28 juillet 2022",1,28 juil. 2022
52,"A FUIR. Contrat souscrit il y a un an
Contrat souscrit il y a un an, erreur de mise en service (mauvais PDL), erreur dans l'adresse, plusieurs contact par mail ou tel sans aucune réponse, échéancier non respecté, prélèvement de 5 factures le même jour, factures jamais reçues sauf une, service client externalisé, incompétence totale, aucune écoute.
Date de l'expérience: 09 août 2022",1,9 août 2022
53,"je mets une étoile car il m'est…
je mets une étoile car il m'est impossible de mettre beaucoup moins. Je n'ai jamais vu un service aussi incompétent, qui vous balade de service en service avec jamais le même discours. Je déconseille fortement ce fournisseur d'énergie qui ne respecte même pas leur contrat. A fuir
Date de l'expérience: 31 août 2022",1,31 août 2022
